          (   1,    2) (   9,    2) (   1,    3) (   1,    2) (   8,    3) (   1,    1) (   9,    0) (   1,    2) (   1,    1) (   1,    2)
          (   1,    1) (   1,    2) (   1,    2) (   6,    4) (   1,    2) (   9,    4) (   8,    2) (   1,    2) (   1,    1) (   1,    5)
          (   1,    2) (   7,    3) (   1,    2) (   1,    2) (   0,    0) (   1,    2) (   1,    5) (   1,    3) (   1,    1) (   1,    2)
          (   1,    2) (   1,    2) (   1,    2) (   0,    4) (   1,    2) (   1,    3) (   1,    2) (   1,    3) (   1,    0) (   1,    0)
          (   1,    2) (   1,    4) (   8,    1) (   1,    4) (   1,    2) (   1,    2) (   1,    0) (   0,    3) (   1,    1) (   1,    1)
          (   1,    3) (   0,    3) (   1,    1) (   1,    3) (   1,    1) (   1,    2) (   1,    3) (   0,    2) (   8,    0) (   1,    2)
          (   8,    1) (   1,    3) (   1,    0) (   1,    3) (   1,    2) (   1,    2) (   1,    0) (   1,    2) (   9,    2) (   1,    3)
          (   1,    3) (   1,    1) (   1,    4) (   1,    3) (   1,    4) (   1,    2) (   1,    3) (   1,    1) (   9,    1) (   9,    3)
          (   1,    2) (   9,    4) (   1,    2) (   1,    2) (   9,    1) (   1,    2) (   1,    1) (   1,    3) (   1,    3) (   1,    1)
          (   1,    3) (   1,    2) (   9,    4) (   9,    2) (   1,    4) (   1,    2) (   1,    1) (   1,    1) (   1,    5) (   1,    5)
          (   1,    3) (   1,    3) (   9,    3) (   1,    4) (   1,    4) (   1,    0) (   1,    2) (   1,    2) (   9,    2) (   1,    3)
          (   9,    2) (   1,    2) (   1,    3) (   1,    2) (   1,    4) (   1,    0) (   9,    2) (   1,    6) (   1,    3) (   9,    3)
          (   1,    1) (   1,    3) (   1,    0) (   1,    3) (   9,    1) (   1,    3) (   1,    4) (   1,    4) (   1,    0) (   1,    4)
          (   9,    3) (   1,    2) (   1,    3) (   1,    2) (   1,    0) (   1,    2) (   1,    1) (   1,    2) (   1,    4) (   1,    4)
          (   1,    3) (   1,    1) (   9,    1) (   1,    3) (   1,    5) (   1,    4) (   1,    1) (   1,    1) (   1,    4) (   1,    4)
          (   1,    1) (   1,    0) (   1,    3) (   9,    2) (   1,    1) (   1,    2) (   9,    3) (   1,    4) (   1,    3) (   1,    2)
          (   1,    4) (   1,    3) (   9,    1) (   1,    5) (   1,    1) (   1,    0) (   1,    3) (   9,    1) (   1,    3) (   1,    1)
          (   1,    1) (   1,    3) (   1,    2) (   1,    3) (   1,    1) (   1,    3) (   9,    2) (   1,    3) (   1,    3) (   1,    3)
          (   1,    3) (   1,    3) (   1,    1) (   1,    1) (   1,    3) (   9,    1) (   1,    3) (   1,    2) (   1,    2) (   1,    2)
